"","airport","city","country","latitude","longitude"
"1","AACHEN MERZBRUCK","AACHEN","GERMANY",50.823,6.187
"2","AALEN HEIDENHEIM ELCHINGEN","AALEN-HEIDENHEIM","GERMANY",48.778,10.264
"3","ABECHE","ABECHE","CHAD",13.847,20.844
"4","OSWALDO GUEVARA MUJICA","ACARIGUA","VENEZUELA",9.553,-69.238
"5","ADELAIDE INTERNATIONAL","ADELAIDE","AUSTRALIA",-34.945,138.531
"6","ADELAIDE PARAFIELD","ADELAIDE","AUSTRALIA",-34.793,138.633
"7","TOUAT CHEIKH SIDI MOHAMED BELKEBIR","ADRAR","ALGERIA",27.837,-0.186
"8","INEZGANE","AGADIR","MOROCCO",30.381,-9.546
"9","AGATTI","AGATTI ISLAND","INDIA",10.823,72.176
"10","LA GARENNE","AGEN","FRANCE",44.175,0.591
"11","AGRA","AGRA","INDIA",27.156,77.961
"12","AIN OUSSERA","AIN OUSSERA","ALGERIA",35.525,2.879
"13","AIOUN EL ATROUSS","AIOUN EL ATROUSS","MAURITANIA",16.711,-9.638
"14","AITUTAKI","AITUTAKI","COOK ISLANDS",-18.825,-159.774
"15","CAMPO DELL ORO","AJACCIO","CORSE ISL.",41.924,8.803
"16","AKUREYRI","AKUREYRI","ICELAND",65.66,-18.072
"17","CHERIF EL IDRISSI","AL HOCIEMA","MOROCCO",35.177,-3.839
"18","BRAY","ALBERT","FRANCE",49.971,2.7
"19","LE SEQUESTRE","ALBI","FRANCE",43.914,2.113
"20","ALBURY","ALBURY","AUSTRALIA",-36.068,146.958
"21","ALERT","ALERT","CANADA",82.518,-62.281
"22","ALEXANDRA","ALEXANDRA","NEW ZEALAND",-45.212,169.373
"23","HOUARI BOUMEDIENE","ALGIER","ALGERIA",36.691,3.215
"24","ALICE SPRINGS","ALICE SPRINGS","AUSTRALIA",-23.807,133.902
"25","ALLAHABAD","ALLAHABAD","INDIA",25.439,81.734
"26","ALLENDORF EDER","ALLENDORF","GERMANY",51.035,8.679
"27","MONTE DOURADO","ALMEIRIM","BRAZIL",-0.89,-52.602
"28","NIUE INTERNATIONAL","ALOFI","NEW ZEALAND",-19.08,-169.926
"29","SULTAN ABDUL HALIM","ALOR SETAR","MALAYSIA",6.194,100.403
"30","ALPHONSE","ALPHONSE","SEYCHELLES",-7.005,52.726
"31","FURNAS","ALPINOPOLIS","BRAZIL",-20.703,-46.335
"32","ALTA FLORESTA","ALTA FLORESTA","BRAZIL",-9.866,-56.106
"33","ALTAMIRA","ALTAMIRA","BRAZIL",-3.254,-52.254
"34","ALTENBURG NOBITZ","ALTENBURG","GERMANY",50.982,12.506
"35","ALTO PALENA","ALTO PALENA","CHILE",-43.615,-71.807
"36","AMAPA","AMAPA","BRAZIL",2.077,-50.862
"37","CHACHOAN","AMBATO","ECUADOR",-1.212,-78.574
"38","BAMAGA INJINOO","AMBERLEY","AUSTRALIA",-10.951,142.459
"39","AMBILOBE MAHAVAVY","AMBILOBE","MADAGASCAR",-13.188,48.988
"40","PATTIMURA","AMBON","INDONESIA",-3.709,128.09
"41","GLISY","AMIENS","FRANCE",49.871,2.386
"42","AMPAMPAMENA","AMPAMPAMENA","MADAGASCAR",-13.485,48.633
"43","AMRITSAR","AMRITSAR","INDIA",31.707,74.799
"44","ANACO","ANACO","VENEZUELA",9.429,-64.471
"45","ANALALAVA","ANALALAVA","MADAGASCAR",-14.629,47.764
"46","ANCENIS","ANCENIS","FRANCE",47.408,-1.177
"47","PUPELDE","ANCUD","CHILE",-41.906,-73.797
"48","ANDAHUAYLAS","ANDAHUAYLAS","PERU",-13.706,-73.35
"49","ANDAPA","ANDAPA","MADAGASCAR",-14.652,49.621
"50","ANDOAS","ANDOAS","PERU",-2.795,-76.466
"51","BRIE CHAMPNIERS","ANGOULEME","FRANCE",45.729,0.221
"52","ANJOUAN OUANI","ANJOUAN","COMOROS ISLANDS",-12.132,44.43
"53","ANKLAM","ANKLAM","GERMANY",53.833,13.669
"54","ANNABA","ANNABA","ALGERIA",36.822,7.809
"55","MEYTHET","ANNECY","FRANCE",45.929,6.099
"56","ANNEMASSE","ANNEMASSE","FRANCE",46.192,6.268
"57","COMMANDANTE FAP GERMAN ARIAS GRAZZIANI","ANTA","PERU",-9.347,-77.598
"58","ANTALAHA ANTSIRABATO","ANTALAHA","MADAGASCAR",-14.999,50.32
"59","ANTANANARIVO IVATO","ANTANANARIVO","MADAGASCAR",-18.797,47.479
"60","CERRO MORENO INTERNATIONAL","ANTOFAGASTA","CHILE",-23.444,-70.445
"61","ANTSIRANANA ARRACHART","ANTSIRANANA","MADAGASCAR",-12.349,49.292
